Test Case,R2 Parameter,R2 Test Output,R5 Parameter,R5 Test Output
1,42.66,31.432467291003423,106.65,78.58116822750856
2,38.83,34.583232931581165,97.08,86.45808232895291
3,34.58,38.8329756778952,86.46,97.082439194738
4,31.43,42.661458015403085,78.58,106.65364503850769
5,25.92,16.970562748477143,64.81,42.42640687119285
6,22.98,19.595917942265423,57.45,48.98979485566356
7,19.6,19.595917942265423,48.99,48.98979485566356
8,16.97,16.970562748477143,42.43,42.42640687119285
9,33.41,33.40658617698013,83.52,83.51646544245033
10,30,30.0,75,75.0
11,26.15,19.595917942265423,65.38,48.98979485566356
12,23.24,23.2379000772445,58.09,58.09475019311126
13,25.92,25.922962793631438,64.81,64.8074069840786
14,22.98,22.978250586152114,57.45,57.44562646538029
15,19.6,19.595917942265423,48.99,48.98979485566356
16,16.97,16.970562748477143,42.43,42.42640687119285
